date,region,rep,channel,units,revenue
2026-07-01,West,Ada Okafor,direct,"1,204",48160.00
2026-07-01,East,Ben Iyer,partner,987,39480.00
2026-07-02,North,Ada Okafor,direct,"1,455",58200.00
2026-07-02,South,Cai Moreau,web,612,24480.00
2026-07-03,West,Ben Iyer,web,"2,038",81520.00
2026-07-03,East,Dara Nkemi,direct,"1,101",44040.00
2026-07-04,North,Cai Moreau,partner,843,33720.00
2026-07-04,South,Ada Okafor,web,"1,377",55080.00
2026-07-01,West,Ada Okafor,web,281,11240.00
2026-07-01,East,Ada Okafor,direct,"1,327",53080.00
2026-07-01,North,Ben Iyer,partner,"1,154",46160.00
2026-07-01,South,Ben Iyer,web,"2,488",99520.00
2026-07-01,West,Cai Moreau,direct,"1,186",47440.00
2026-07-01,East,Cai Moreau,partner,637,25480.00
2026-07-01,North,Dara Nkemi,web,"2,110",84400.00
2026-07-01,South,Dara Nkemi,direct,811,32440.00
2026-07-01,West,Ada Okafor,partner,"1,630",65200.00
2026-07-01,East,Ada Okafor,web,"2,358",94320.00
2026-07-01,North,Ben Iyer,direct,245,9800.00
2026-07-01,South,Ben Iyer,partner,"1,734",69360.00
2026-07-01,West,Cai Moreau,web,"2,339",93560.00
2026-07-01,East,Cai Moreau,direct,"1,176",47040.00
2026-07-01,North,Dara Nkemi,partner,900,36000.00
2026-07-01,South,Dara Nkemi,web,546,21840.00
2026-07-01,West,Ada Okafor,direct,"1,494",59760.00
2026-07-01,East,Ada Okafor,partner,"1,215",48600.00
2026-07-01,North,Ben Iyer,web,"1,999",79960.00
2026-07-01,South,Ben Iyer,direct,429,17160.00
2026-07-01,West,Cai Moreau,partner,"2,510",100400.00
2026-07-01,East,Cai Moreau,web,911,36440.00
2026-07-01,North,Dara Nkemi,direct,"1,279",51160.00
2026-07-01,South,Dara Nkemi,partner,"1,892",75680.00
2026-07-01,West,Ada Okafor,web,276,11040.00
2026-07-01,East,Ada Okafor,direct,"1,275",51000.00
2026-07-01,North,Ben Iyer,partner,732,29280.00
2026-07-01,South,Ben Iyer,web,"2,392",95680.00
2026-07-01,West,Cai Moreau,direct,"2,553",102120.00
2026-07-01,East,Cai Moreau,partner
2026-07-01,North,Dara Nkemi,web,"1,113",44520.00
2026-07-01,South,Dara Nkemi,direct,648,25920.00
2026-07-01,West,Ada Okafor,partner,"1,903",76120.00
2026-07-01,East,Ada Okafor,web,366,14640.00
2026-07-01,North,Ben Iyer,direct,"1,632",65280.00
2026-07-01,South,Ben Iyer,partner,"2,269",90760.00
2026-07-01,West,Cai Moreau,web,"1,318",52720.00
2026-07-01,East,Cai Moreau,direct,"2,256",90240.00
2026-07-01,North,Dara Nkemi,partner,"1,385",55400.00
2026-07-01,South,Dara Nkemi,web,778,31120.00
2026-07-01,West,Ada Okafor,direct,499,19960.00
2026-07-01,East,Ada Okafor,partner,"1,357",54280.00
2026-07-01,North,Ben Iyer,web,"1,486",59440.00
2026-07-01,South,Ben Iyer,direct,773,30920.00
2026-07-01,West,Cai Moreau,partner,331,13240.00
2026-07-02,East,Cai Moreau,web,"1,617",64680.00
2026-07-02,North,Dara Nkemi,direct,"1,563",62520.00
2026-07-02,South,Dara Nkemi,partner,938,37520.00
2026-07-02,West,Ada Okafor,web,547,21880.00
2026-07-02,East,Ada Okafor,direct,299,11960.00
2026-07-02,North,Ben Iyer,partner,"2,295",91800.00
2026-07-02,South,Ben Iyer,web,"1,258",50320.00
2026-07-02,West,Cai Moreau,direct,"1,282",51280.00
2026-07-02,East,Cai Moreau,partner,404,16160.00
2026-07-02,North,Dara Nkemi,web,"1,097",43880.00
2026-07-02,South,Dara Nkemi,direct,"2,173",86920.00
2026-07-02,West,Ada Okafor,partner,"2,159",86360.00
2026-07-02,East,Ada Okafor,web,"2,481",99240.00
2026-07-02,North,Ben Iyer,direct,694,27760.00
2026-07-02,South,Ben Iyer,partner,"1,799",71960.00
